id,name,link,logo,short_description,full_description,type,status,origin,"rating (quality, stability, features, maturity)","popularity (community size, recognition, adoption)",additional_info,website,github,updated_at
11,CrDroid,https://aitoolbuzz.com/roms/crdroid,https://aitoolbuzz.com/assets/agents/roms/logos/CrDroid-de2b75ea.png,Popular LineageOS-based custom ROM,"crDroid is a highly customizable aftermarket Android platform based on LineageOS, developed since 2014.",LineageOS-based,Active,Germany,930,950,One of the most popular,https://crdroid.net/,https://github.com/crdroidandroid,06-01-2026 14.58
12,SlimRoms,https://aitoolbuzz.com/roms/slimroms,https://aitoolbuzz.com/assets/agents/roms/logos/SlimRoms-fa03058a.png,Lightweight performance-focused Android ROM,"SlimRoms is a custom Android ROM developed since 2012, known for minimalism, speed, and efficiency.",AOSP,Discontinued,USA,920,880,Minimal ROM legend,https://slimroms.org/,https://github.com/slimroms,06-01-2026 14.58
13,PAC-ROM,https://aitoolbuzz.com/roms/pac-rom,,Hybrid Android custom ROM,"PAC-ROM combines features from Paranoid Android, AOKP, and CyanogenMod into a single custom ROM.",Hybrid (PA+AOKP+CM),Discontinued,USA,920,890,Triple-base ROM,,,06-01-2026 14.58
14,CalyxOS microG,https://aitoolbuzz.com/roms/calyxos-microg,,CalyxOS with microG services,CalyxOS microG is a privacy-focused Android operating system integrating microG instead of Google services.,AOSP + microG (Privacy),Active,USA,920,700,CalyxOS with Google-free microG,,,06-01-2026 14.58
15,Android-x86,https://aitoolbuzz.com/roms/android-x86,,Android port for x86 architecture,Android-x86 is an open-source project porting Android to x86-based PCs and laptops.,Android Port (x86),Active,Global,920,820,Android for PCs,,,06-01-2026 14.58
16,PrimeOS,https://aitoolbuzz.com/roms/primeos,,Android OS for PCs,PrimeOS is an Android-based operating system designed for desktop and laptop environments.,Android Desktop OS,Active,India,920,840,PC gaming-focused Android,,,06-01-2026 14.58
17,Waydroid ROM,https://aitoolbuzz.com/roms/waydroid-rom,,Android container-based system,Waydroid allows Android to run in a containerized environment on Linux systems.,Android Runtime,Active,Global,920,700,Android containers on Linux,,,06-01-2026 14.58
18,Google GSI A13,https://aitoolbuzz.com/roms/google-gsi-a13,,Android 13 Google GSI,Google GSI A13 is an official Android 13 Generic System Image from Google.,GSI (Google),Active,USA,920,860,Official Android 13 GSI,https://developer.android.com/about/versions/13/gsi-release-notes#downloads,,06-01-2026 14.58
19,Xiaomi.EU,https://aitoolbuzz.com/roms/xiaomi-eu,https://aitoolbuzz.com/assets/agents/roms/logos/Xiaomi_EU-8b495fb2.png,Community MIUI-based ROM,Xiaomi.EU provides community-maintained MIUI-based Android ROMs with enhancements and localization.,MIUI / HyperOS ROMs,Active,Europe,920,900,Flagship MIUI mods,https://xiaomi.eu/,,06-01-2026 14.58
20,Xiaomi HyperOS,https://aitoolbuzz.com/roms/xiaomi-hyperos,https://aitoolbuzz.com/assets/agents/roms/logos/HyperOS.webp,Xiaomi’s next-generation Android OS,"Xiaomi HyperOS is Xiaomi’s Android-based operating system for Xiaomi, Redmi, and POCO devices, succeeding MIUI and officially launched in 2023.",AOSP,Active,China,920,940,MIUI successor,https://www.mi.com/global/hyperos/,,06-01-2026 17.05
21,microG Services Core,https://aitoolbuzz.com/roms/microg-services,,Free replacement for Google services,"microG Services Core is an open-source implementation of Google Play Services APIs, designed to reduce dependency on proprietary Google components.",Google Services Alt,Active,Global,920,820,FOSS Play Services,,,06-01-2026 15.15
22,CalyxOS,https://aitoolbuzz.com/roms/calyxos,https://aitoolbuzz.com/assets/agents/roms/logos/CalyxOS-febc386f.jpg,Privacy-focused Android operating system,"CalyxOS is a privacy-first Android operating system developed by the Calyx Institute, offering secure and de-Googled Android for supported devices.",AOSP (Privacy),Active,USA,920,780,"Privacy-first, Pixel focus",https://calyxos.org/,https://github.com/CalyxOS,06-01-2026 14.58
23,eFoundation,https://aitoolbuzz.com/roms/efoundation,https://aitoolbuzz.com/assets/agents/roms/logos/eFoundation-72fd4467.jpg,Privacy-first mobile OS ecosystem,"eFoundation develops mobile operating systems, applications, and services that prioritize user privacy and digital freedom over profit.",LineageOS-based (Privacy),Active,Europe,920,760,Commercial privacy OS (Murena),https://e.foundation/,https://github.com/e-foundation,06-01-2026 14.58
24,Evolution X,https://aitoolbuzz.com/roms/evolution-x,https://aitoolbuzz.com/assets/agents/roms/logos/Evolution_X-aa171e50.png,Pixel-style ROM based on LineageOS,"Evolution X is a popular custom ROM now based on LineageOS, designed to bring Pixel-like features and customization to supported devices.",LineageOS-based,Active,Philippines,910,880,"Pixel-style, very popular",https://evolution-x.org/,https://github.com/Evolution-X,06-01-2026 14.58
25,iodéOS,https://aitoolbuzz.com/roms/iodeos,,Privacy-enhanced Android operating system,iodéOS is a privacy-focused Android operating system designed to reduce tracking and improve user data protection.,LineageOS-based (Privacy),Active,Europe,900,620,Anti-tracking focus,https://iode.tech/iodeos-en,,06-01-2026 14.58
26,Omni ROM,https://aitoolbuzz.com/roms/omni-rom,https://aitoolbuzz.com/assets/agents/roms/logos/Omni_ROM-cc4efa0a.png,Veteran open-source Android firmware,"OmniROM is an open-source Android firmware project started in 2013, known for innovation and contributions to Android recovery and ROM development.",AOSP,Active,USA,900,760,Veteran ROM (since 2013),https://omnirom.org/,https://github.com/omnirom,06-01-2026 14.58
27,Pixel Experience,https://aitoolbuzz.com/roms/pixel-experience,https://aitoolbuzz.com/assets/agents/roms/logos/Pixel_Experience-7ce0a4bd.jpg,Pixel ROM with built-in Google apps,PixelExperience is an AOSP-based ROM launched in 2017 that includes Google apps and Pixel features; it was discontinued in April 2024.,AOSP + GApps,Discontinued,Brazil,900,920,Pixel ROM standard,https://download.pixelexperience.org/,https://github.com/PixelExperience,06-01-2026 14.58
28,Replicant,https://aitoolbuzz.com/roms/replicant,,Fully free and open-source Android OS,"Replicant is a LineageOS-based Android operating system that removes proprietary components to ensure software freedom, started in 2010.",LineageOS-based (FOSS),Active,France,900,540,Fully free software,,,06-01-2026 14.58
29,YAAP (Yet Another AOSP Project),https://aitoolbuzz.com/roms/yaap,https://aitoolbuzz.com/assets/agents/roms/logos/YAAP_Yet_Another_AOSP_Project-f978ca2a.png,Clean and close-to-AOSP Android ROM,YAAP is an AOSP-based Android project focused on maintaining a clean interface and avoiding unnecessary complexity.,AOSP,Active,USA,900,760,Clean & close to stock,https://yaosp.dev/,https://github.com/yaap,06-01-2026 14.58
30,LiquidSmooth,https://aitoolbuzz.com/roms/liquidsmooth,,Smooth and polished Android ROM,"LiquidSmooth is an Android custom ROM designed to deliver a fluid, smooth, and responsive Android experience.",AOSP,Discontinued,USA,900,860,Performance legend,,,06-01-2026 14.58
31,LineageOS for microG,https://aitoolbuzz.com/roms/lineageos-microg,,LineageOS with microG integration,LineageOS for microG is a LineageOS variant that replaces Google services with microG.,LineageOS + microG,Active,Europe,900,720,Privacy-focused LOS variant,,,06-01-2026 14.58
32,Anbox OS,https://aitoolbuzz.com/roms/anbox-os,,Android runtime for Linux systems,Anbox OS enables Android applications to run on Linux systems using containerization.,Android Runtime,Active,Global,900,650,Android in Linux containers,,,06-01-2026 14.58
33,Phoenix OS,https://aitoolbuzz.com/roms/phoenix-os,,Desktop-oriented Android OS,Phoenix OS is an Android-based operating system optimized for PC-style usage.,Android Desktop OS,Active,China,900,880,PC-optimized Android,,,06-01-2026 14.58
34,Cyanogen OS (OEM version),https://aitoolbuzz.com/roms/cyanogen-os,,OEM Android OS by Cyanogen Inc.,Cyanogen OS was a commercial Android operating system developed for OEM devices by Cyanogen Inc.,Proprietary Android (OEM),Discontinued,USA,900,920,Commercial CM variant,,,06-01-2026 15.02
35,LineageOS microG CAF,https://aitoolbuzz.com/roms/lineageos-microg-caf,,LineageOS with microG and CAF,"LineageOS microG CAF combines LineageOS, microG services, and CAF optimizations.",LOS + microG + CAF,Active,Europe,900,660,Privacy + CAF optimizations,,,06-01-2026 14.58
36,Google GSI A12,https://aitoolbuzz.com/roms/google-gsi-a12,,Android 12 Google GSI,Google GSI A12 is an official Android 12 Generic System Image from Google.,GSI (Google),Active,USA,900,830,Official Android 12 GSI,https://developer.android.com/about/versions/12/gsi-release-notes#downloads,,06-01-2026 14.58
37,/e/,https://aitoolbuzz.com/roms/e-os,,Privacy-focused Android OS,"/e/ is a privacy-focused Android operating system forked from LineageOS, developed by the e Foundation since 2017.",LineageOS-based (Privacy),Active,Europe,900,760,Murena / de-Googled,,,06-01-2026 14.58
38,ColorOS,https://aitoolbuzz.com/roms/coloros,https://aitoolbuzz.com/assets/agents/roms/logos/color_os.png,OPPO and OnePlus Android OS,ColorOS is an Android-based operating system developed by OPPO for smartphones and tablets since 2013.,Proprietary Android UI,Active,China,900,900,OPPO / OnePlus,,,06-01-2026 14.58
39,EMUI,https://aitoolbuzz.com/roms/emui,,Huawei Android operating system,"EMUI is Huawei’s Android-based operating system, also known as Magic UI on Honor devices.",Proprietary Android UI,Active,China,900,900,Huawei / Honor,,,06-01-2026 14.58
40,OxygenOS,https://aitoolbuzz.com/roms/oxygenos,https://aitoolbuzz.com/assets/agents/roms/logos/OxygenOS.png,OnePlus Android operating system,"OxygenOS is an Android-based operating system for OnePlus smartphones, developed since 2015, later merged with HydrogenOS and using the ColorOS codebase from version 12 onward.",Proprietary Android OS,Active,China,900,920,OnePlus,https://www.oneplus.in/oxygenos15,,06-01-2026 14.58
41,OrangeFox Recovery,https://aitoolbuzz.com/roms/orangefox-recovery,https://aitoolbuzz.com/assets/agents/roms/logos/OrangeFox_Recovery-53229736.png,Feature-rich custom Android recovery,"OrangeFox Recovery is a popular custom Android recovery offering advanced features, bug fixes, and wide device support.",Custom Recovery,Active,Global,900,860,Feature-rich,https://orangefox.download,,06-01-2026 14.58
42,KernelSU : Kernel Based Root Solution for Android,https://aitoolbuzz.com/roms/kernelsu,https://aitoolbuzz.com/assets/agents/roms/logos/KernelSU_Kernel_Based_Root_Solution_for_Android-952271d9.png,Kernel-based Android root solution,KernelSU is a kernel-level root solution for Android that provides root access through kernel integration rather than system modification.,Root Solution,Active,Global,900,780,Kernel-level root,https://kernelsu.org,https://github.com/tiann/KernelSU,06-01-2026 14.58
43,LSPosed,https://aitoolbuzz.com/roms/lsposed,,Xposed framework replacement,"LSPosed is a modern replacement for the Xposed framework, providing runtime code modification using Magisk or Zygisk.",Framework,Active,Global,900,760,Xposed successor,,,06-01-2026 14.58
44,Zygisk,https://aitoolbuzz.com/roms/zygisk,,Magisk’s native Zygote framework,"Zygisk is Magisk’s built-in Zygote injection framework, enabling advanced module development and system modification.",Framework,Active,Global,900,780,Magisk native,,,06-01-2026 14.58
45,Dirty Unicorns,https://aitoolbuzz.com/roms/dirty-unicorns,https://aitoolbuzz.com/assets/agents/roms/logos/Dirty_Unicorns-006ca08c.jpg,Feature-rich AOSP-based Android ROM,Dirty Unicorns is an AOSP-based Android project created to enhance stock Android with advanced customization features.,AOSP,Discontinued,USA,900,880,Feature-rich legacy ROM,https://dirtyunicorns.com/,https://github.com/DirtyUnicorns,06-01-2026 14.58
46,DivestOS,https://aitoolbuzz.com/roms/divestos,https://aitoolbuzz.com/assets/agents/roms/logos/DivestOS-4abb062d.jpg,Security and privacy-focused LineageOS fork,"DivestOS is a soft fork of LineageOS emphasizing security, privacy, deblobbing, and fully open-source software, started in 2014.",LineageOS-based (Privacy),Active,USA,900,720,"Security-hardened, de-Googled, FOSS",https://divestos.org,https://github.com/divested-mobile,06-01-2026 14.58
47,Havoc OS,https://aitoolbuzz.com/roms/havoc-os,https://aitoolbuzz.com/assets/agents/roms/logos/Havoc_OS-ac9b2ba0.png,Feature-rich AOSP-based Android ROM,Havoc OS is a custom Android ROM based on AOSP that offers extensive customization options and modern Android features.,AOSP,Active,India,890,860,Feature-heavy & popular,https://havoc-os.com/,https://github.com/Havoc-OS,06-01-2026 14.58
48,PixelOS,https://aitoolbuzz.com/roms/pixelos,https://aitoolbuzz.com/assets/agents/roms/logos/PixelOS-76da3d85.png,Pixel-focused AOSP custom ROM,PixelOS is an AOSP-based Android ROM designed to deliver the best possible Pixel-style Android experience.,AOSP,Active,India,880,820,Popular Pixel ROM,https://pixelos.net/,https://github.com/PixelOS-AOSP,06-01-2026 14.58
49,Project Awaken,https://aitoolbuzz.com/roms/project-awaken,https://aitoolbuzz.com/assets/agents/roms/logos/Project_Awaken-b69dfcda.jpg,Smooth and consistent Android ROM,"Project Awaken is a custom Android ROM designed to deliver a fluent, smooth, and consistent experience with essential customizations.",AOSP,Active,India,880,740,Smooth & polished,https://awakenos.vercel.app/,https://github.com/Project-Awaken,06-01-2026 14.58
50,SparkOS,https://aitoolbuzz.com/roms/sparkos,https://aitoolbuzz.com/assets/agents/roms/logos/SparkOS-ddd793f6.png,Feature-rich AOSP-based Android ROM,"SparkOS is a custom Android ROM that blends performance, customization, and stability into a cohesive experience.",AOSP,Active,India,880,820,Feature-rich,https://www.spark-os.live/,https://github.com/Spark-Rom,06-01-2026 14.58
51,DirtyUnicorns CAF,https://aitoolbuzz.com/roms/dirtyunicorns-caf,,CAF-based Dirty Unicorns variant,"DirtyUnicorns CAF is a CAF-based variant of the Dirty Unicorns ROM, focused on hardware optimization.",CAF-based,Discontinued,USA,880,760,Optimized DU variant,,,06-01-2026 14.58
52,AOSP for microG,https://aitoolbuzz.com/roms/aosp-microg,,De-Googled AOSP with microG,AOSP for microG is a privacy-focused Android build that replaces Google services with microG.,AOSP + microG,Active,Europe,880,620,De-Googled Android,,,06-01-2026 14.58
53,GrapheneOS hardened forks (community),https://aitoolbuzz.com/roms/grapheneos-forks,,Community GrapheneOS-based forks,GrapheneOS hardened forks are community-maintained Android builds derived from GrapheneOS with security hardening.,GrapheneOS-based,Active (Community),Global,880,480,Community-maintained hardened variants,,,06-01-2026 14.58
54,LineageOS CAF,https://aitoolbuzz.com/roms/lineageos-caf,,CAF-optimized LineageOS builds,LineageOS CAF is a variant of LineageOS enhanced with CAF optimizations for supported devices.,LineageOS + CAF,Active,Global,880,760,CAF-enhanced LOS,,,06-01-2026 14.58
55,Sailfish OS (Android runtime),https://aitoolbuzz.com/roms/sailfish-os,,Mobile OS with Android runtime,Sailfish OS is a Linux-based mobile OS supporting Android apps through a compatibility layer.,Linux OS + Android runtime,Active,Finland,880,600,Android app compatibility,,,06-01-2026 14.58
56,Android S GSI,https://aitoolbuzz.com/roms/android-s-gsi,https://aitoolbuzz.com/assets/agents/roms/logos/Android_S_GSI.jpg,Android 12 generic system image,Android S GSI is a Generic System Image based on Android 12 for Treble-enabled devices.,Generic System Image,Active,Global,880,740,Android 12 GSI for Treble,,,06-01-2026 14.58
57,Google GSI A11,https://aitoolbuzz.com/roms/google-gsi-a11,,Android 11 Google GSI,Google GSI A11 is an official Android 11 Generic System Image from Google.,GSI (Google),Active,USA,880,800,Official Android 11 GSI,https://ci.android.com/builds/branches/aosp-android11-gsi/grid?,,06-01-2026 14.58
58,RevOS,https://aitoolbuzz.com/roms/revos,https://aitoolbuzz.com/assets/agents/roms/logos/RevOS-b4881f41.jpg,MIUI-based custom ROM for Xiaomi,RevOS is a MIUI-based Android custom ROM designed for Xiaomi devices.,MIUI-based ROM,Active,China,880,820,Popular MIUI mod,,,06-01-2026 14.58
59,CopperheadOS,https://aitoolbuzz.com/roms/copperheados,https://aitoolbuzz.com/assets/agents/roms/logos/CopperheadOS.webp,Security-focused Android OS,CopperheadOS is a privacy- and security-focused Android operating system developed by Copperhead Security.,AOSP (Security),Inactive,Canada,880,600,Pre-Graphene era,,https://github.com/CopperheadOS,06-01-2026 14.58
60,Fire OS,https://aitoolbuzz.com/roms/fire-os,,Amazon’s Android-based OS,"Fire OS is an Android-based operating system developed by Amazon, focused on content consumption.",Proprietary Android OS,Active,USA,880,860,Amazon ecosystem,,,06-01-2026 14.58
61,MagicOS,https://aitoolbuzz.com/roms/magicos,https://aitoolbuzz.com/assets/agents/roms/logos/MagicOS-8.jpeg,Honor’s Android operating system,MagicOS is an Android-based operating system developed by Honor after its separation from Huawei.,Proprietary Android OS,Active,China,880,860,Honor OS,,,06-01-2026 14.58
62,realme UI,https://aitoolbuzz.com/roms/realme-ui,https://aitoolbuzz.com/assets/agents/roms/logos/realme_UI.jpg,Android UI for realme devices,"realme UI is an Android-based user interface for realme devices, built on ColorOS and officially introduced in 2020.",Proprietary Android UI,Active,China,880,900,realme,https://www.realme.com/in/realme-ui,,06-01-2026 14.58
63,Arrow OS,https://aitoolbuzz.com/roms/arrow-os,https://aitoolbuzz.com/assets/agents/roms/logos/Arrow_OS-dc5d7a6f.png,Clean and battery-efficient Android ROM,Arrow OS is a simple and clean AOSP-based ROM designed to improve performance and battery life while maintaining stability.,AOSP,Active,India,880,890,"Battery-friendly, clean",https://arrowos.net/,https://github.com/arrowos,06-01-2026 14.58
64,Project Elixir,https://aitoolbuzz.com/roms/project-elixir,https://aitoolbuzz.com/assets/agents/roms/logos/Project_Elixir-6fa19aaa.png,Minimal and stock-like Android ROM,Project Elixir is a custom Android ROM that delivers a close-to-stock experience with minimal UI changes and useful customization features.,AOSP,Active,India,870,760,Minimal & stock-like,https://projectelixiros.com/home,https://github.com/Project-Elixir,06-01-2026 14.58
65,Bliss ROMs,https://aitoolbuzz.com/roms/bliss-roms,https://aitoolbuzz.com/assets/agents/roms/logos/Bliss_ROMs-fae69a77.png,Customizable Android ROM,"Bliss ROMs is an AOSP-based Android ROM offering a balance between customization, performance, and user experience.",AOSP,Active,USA,870,760,Desktop & mobile focus,https://blissroms.com/,https://github.com/BlissRoms,06-01-2026 14.58
66,PixelPlusUI,https://aitoolbuzz.com/roms/pixelplusui,https://aitoolbuzz.com/assets/agents/roms/logos/PixelPlusUI-b7851b55.png,Minimal and stable Pixel-style ROM,"PixelPlusUI is a close-to-stock Android ROM offering Pixel UI aesthetics, strong performance, and system stability.",AOSP,Active,India,860,780,Minimal & stable,https://ppui.site/home,https://github.com/PixelPlusUI-Elle,06-01-2026 14.58
67,Project Blaze,https://aitoolbuzz.com/roms/project-blaze,https://aitoolbuzz.com/assets/agents/roms/logos/Project_Blaze-4b547c86.png,Performance-optimized Android ROM,"Project Blaze is an Android custom ROM focused on enhanced performance, security, and flexible customization options.",AOSP,Active,India,860,720,Performance-focused,https://www.projectblaze.in/,https://github.com/ProjectBlaze,06-01-2026 14.58
68,Project Matrixx,https://aitoolbuzz.com/roms/project-matrixx,https://aitoolbuzz.com/assets/agents/roms/logos/Project_Matrixx-5cb7945b.png,crDroid-based custom Android ROM,"Project Matrixx is a custom Android ROM based on crDroid, adding extra features and refinements to the base platform.",crDroid-based,Active,India,860,680,Performance tuning,https://projectmatrixx.github.io/,https://github.com/ProjectMatrixx,06-01-2026 14.58
69,RiceDroid,https://aitoolbuzz.com/roms/ricedroid,https://aitoolbuzz.com/assets/agents/roms/logos/RiceDroid-90c11c04.png,Customizable Android ROM based on AOSP,RiceDroid is an Android custom ROM focused on providing extensive customization while maintaining system stability.,AOSP,Active,India,860,720,Customization-focused,,https://github.com/RiceDroid-devices,06-01-2026 14.58
70,Superior OS,https://aitoolbuzz.com/roms/superior-os,https://aitoolbuzz.com/assets/agents/roms/logos/Superior_OS-ed6f0881.png,Clean AOSP-based custom ROM,"Superior OS is an AOSP-based Android custom ROM designed to deliver a clean, smooth, and customizable Android experience.",AOSP,Active,India,860,740,Feature-packed,https://superioros.github.io/,https://github.com/SuperiorOS,06-01-2026 14.58
71,Xenon HD,https://aitoolbuzz.com/roms/xenon-hd,https://aitoolbuzz.com/assets/agents/roms/logos/Xenon_HD-af0e9c2f.png,Team Horizon’s Android custom ROM,"Xenon HD is a custom Android ROM developed by Team Horizon, supporting multiple devices with performance and stability improvements.",AOSP,Inactive,USA,860,740,Team Horizon,https://www.xenonhd.com/,https://github.com/TeamHorizon,06-01-2026 14.58
72,Gummy ROM,https://aitoolbuzz.com/roms/gummy-rom,,Veteran AOSP-based Android ROM,Gummy ROM is a long-running AOSP-based Android custom ROM known for clean design and smooth performance.,AOSP,Discontinued,USA,860,720,Early Android ROM,,https://github.com/TEAM-Gummy,06-01-2026 14.58
73,Android Go AOSP,https://aitoolbuzz.com/roms/android-go-aosp,,Lightweight Android Go builds,Android Go AOSP provides lightweight Android builds optimized for low-end hardware.,AOSP (Android Go),Active,Global,860,780,Optimized for low-end devices,,,06-01-2026 14.58
74,PostmarketOS (Android compatibility builds),https://aitoolbuzz.com/roms/postmarketos,,Linux OS with Android compatibility,PostmarketOS is a Linux-based OS offering Android compatibility layers for mobile devices.,Linux + Android compat,Active,Europe,860,520,Long-term device support,,,06-01-2026 14.58
75,Ubuntu Touch (Android HAL based),https://aitoolbuzz.com/roms/ubuntu-touch,,Linux mobile OS with Android HAL,Ubuntu Touch is a Linux-based mobile operating system using Android HAL for hardware support.,Linux OS (Android HAL),Active,Global,860,580,Community-driven mobile Linux,,,06-01-2026 14.58
76,LineageOS Go Edition,https://aitoolbuzz.com/roms/lineageos-go,,LineageOS for low-end devices,LineageOS Go Edition is optimized for low-end devices using Android Go configurations.,LineageOS (Android Go),Active,Global,860,620,LOS for low-end devices,,,06-01-2026 14.58
77,Google GSI A10,https://aitoolbuzz.com/roms/google-gsi-a10,,Android 10 Google GSI,Google GSI A10 is an official Android 10 Generic System Image from Google.,GSI (Google),Active,USA,860,780,Official Android 10 GSI,https://ci.android.com/builds/branches/aosp-android10-gsi/grid?,,06-01-2026 14.58
78,MIUI Pro,https://aitoolbuzz.com/roms/miui-pro,https://aitoolbuzz.com/assets/agents/roms/logos/MiuiPro.webp,Localized MIUI custom ROMs,MIUI Pro provides localized and optimized MIUI-based Android ROMs.,MIUI-based ROM,Active,Europe,860,760,Localized MIUI,,,06-01-2026 14.58
79,RemodedUI,https://aitoolbuzz.com/roms/remodedui,,Debloated MIUI-based Android OS,RemodedUI is an open-source MIUI-based Android OS offering a debloated system with added customization.,MIUI-based ROM,Active,Global,860,740,Debloated MIUI,,,06-01-2026 14.58
80,BharOS,https://aitoolbuzz.com/roms/bharos,https://aitoolbuzz.com/assets/agents/roms/logos/BharOS.jpg,Government-focused Android OS,BharOS is a closed-source Android-based operating system developed by IIT Madras for government and public use in India.,Proprietary Android fork,Active,India,860,620,Govt-focused OS,,,06-01-2026 14.58
81,emteria.OS,https://aitoolbuzz.com/roms/emteria-os,,Enterprise-focused Android platform,emteria.OS is a professional Android platform for enterprise and industrial devices with management and OTA support.,Enterprise Android,Active,Germany,860,540,Industrial / Pi,,,06-01-2026 14.58
82,LG UX,https://aitoolbuzz.com/roms/lg-ux,https://aitoolbuzz.com/assets/agents/roms/logos/LGUX.jpg,LG’s Android user interface,LG UX is LG Electronics’ Android UI for smartphones and tablets.,Proprietary Android UI,Discontinued,South Korea,860,820,LG devices,,,06-01-2026 14.58
83,My UX,https://aitoolbuzz.com/roms/my-ux,https://aitoolbuzz.com/assets/agents/roms/logos/myux.jpg,Motorola Android user experience,My UX is Motorola’s Android user experience layer focused on near-stock Android with useful enhancements.,Proprietary Android UI,Active,USA,860,820,Motorola UX,https://www.motorola.com/us/my-ux/,,06-01-2026 14.58
84,SHRP – Sky Hawk Recovery Project,https://aitoolbuzz.com/roms/shrp-recovery,https://aitoolbuzz.com/assets/agents/roms/logos/SHRP___Sky_Hawk_Recovery_Project-26682d38.png,Modern UI-based Android recovery,"Sky Hawk Recovery Project (SHRP) is a custom recovery inspired by modern design, extending TWRP with a rich UI and additional functionality.",Custom Recovery,Active,Global,860,740,Modern UI,https://skyhawkrecovery.github.io/,https://github.com/SHRP,06-01-2026 14.58
85,AOKP,https://aitoolbuzz.com/roms/aokp,https://aitoolbuzz.com/assets/agents/roms/logos/AOKP-8ec3330f.png,Veteran Android ROM by Team Kang,"Android Open Kang Project (AOKP) is a LineageOS-based ROM started in 2011 by Team Kang, known for deep customization options.",LineageOS-based,Discontinued,USA,860,900,Historic ROM (Team Kang),http://aokp.co/,https://github.com/AOKP,06-01-2026 14.58
